eggs,egg
table sugar,sugar
fruits,fruit
cardamum,cardamom
maltodextrin,maltodextrines
coffee beans,coffee bean
coffee,coffee bean
romaine lettuce,cos lettuce
chili peppers,chili pepper
chili peppers,chilli peppers
sugar syrup,sugars
sugar syrup,sugar
sugar syrup,inverted sugar syrup
sugar syrup,simple syrup
sugar syrup,simple sugars
sugar syrup,invert sugar
sugar water,sugars
sugar water,sugar
sugars,simple sugars
sugars,invert sugar
sugar,invert sugar
sugar,simple sugars
sugars,sugar
